City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Nicoya,CR,2022-07-22 16:26:59,10.1483,-85.452,75.15,92,100,2.53
213,Qaanaaq,GL,2022-07-22 16:22:28,77.484,-69.3632,42.3,85,100,11.59
214,Anadyr,RU,2022-07-22 16:26:59,64.75,177.4833,44.01,93,100,4.0
215,Hasaki,JP,2022-07-22 16:27:00,35.7333,140.8333,77.29,91,37,18.61
216,Dicabisagan,PH,2022-07-22 16:27:00,17.0818,122.4157,80.08,88,54,1.79
217,Petropavlovsk-Kamchatskiy,RU,2022-07-22 16:22:59,53.0452,158.6483,51.84,85,70,0.92
218,Zhongxing,CN,2022-07-22 16:27:01,33.7039,118.6792,76.35,93,100,4.88
219,Liaozhong,CN,2022-07-22 16:27:01,41.5061,122.7242,72.16,89,100,3.85
220,Codrington,AU,2022-07-22 16:27:01,-38.2667,141.9667,51.73,88,100,3.94
221,Priargunsk,RU,2022-07-22 16:27:02,50.3691,119.1012,69.6,72,20,9.33
222,Kathu,TH,2022-07-22 16:27:02,7.9178,98.3332,83.7,99,99,7.9
223,Labuan,MY,2022-07-22 16:27:03,5.2767,115.2417,81.66,78,100,4.74
224,Inongo,CD,2022-07-22 16:27:03,-1.95,18.2667,73.36,75,94,0.81
225,Ekibastuz,KZ,2022-07-22 16:28:03,51.6667,75.3667,69.94,49,15,8.93
226,Ottumwa,US,2022-07-22 16:24:42,41.02,-92.4113,86.95,58,51,5.99
227,Lata,PT,2022-07-22 16:27:15,40.1629,-8.3327,86.49,45,11,11.41
228,Iskateley,RU,2022-07-22 16:28:04,67.6803,53.1512,56.07,54,61,7.87
229,Iralaya,HN,2022-07-22 16:28:04,15.0,-83.2333,81.54,85,100,13.87
230,Krasnyy Yar,RU,2022-07-22 16:28:05,46.5331,48.3456,80.47,29,17,8.23
231,Longyearbyen,SJ,2022-07-22 16:28:05,78.2186,15.6401,47.53,92,100,1.54
232,Yaan,NG,2022-07-22 16:28:06,7.3833,8.5667,81.46,72,98,6.44
233,Port Hedland,AU,2022-07-22 16:28:06,-20.3167,118.5667,72.12,82,0,10.22
234,Dingle,PH,2022-07-22 16:28:06,10.9995,122.6711,77.27,90,68,4.41
235,Townsville,AU,2022-07-22 16:28:07,-19.25,146.8,59.85,55,8,5.61
236,Kruisfontein,ZA,2022-07-22 16:28:07,-34.0033,24.7314,58.89,70,100,4.97
237,Thinadhoo,MV,2022-07-22 16:28:07,0.5333,72.9333,82.0,73,100,9.8
238,Tecoanapa,MX,2022-07-22 16:28:08,16.5167,-98.75,84.22,71,92,1.16
239,Santa Maria A Monte,IT,2022-07-22 16:28:08,43.6999,10.689,96.82,45,0,8.99
240,Raudeberg,NO,2022-07-22 16:28:08,61.9875,5.1352,54.95,80,62,26.33
241,San Policarpo,PH,2022-07-22 16:28:09,12.1791,125.5072,81.03,81,86,0.2
242,Felanitx,ES,2022-07-22 16:28:09,39.4696,3.1483,97.45,40,0,10.0
243,Nizwa,OM,2022-07-22 16:28:09,22.9333,57.5333,91.47,55,41,1.77
244,Padang,ID,2022-07-22 16:28:09,-0.9492,100.3543,78.57,88,100,4.99
245,Walvis Bay,NA,2022-07-22 16:28:10,-22.9575,14.5053,63.09,47,0,17.63
246,Isetskoye,RU,2022-07-22 16:28:11,56.4858,65.3226,62.37,81,36,7.67
247,Meulaboh,ID,2022-07-22 16:28:11,4.1363,96.1285,75.67,89,100,8.12
248,Krasnoselkup,RU,2022-07-22 16:28:12,65.7,82.4667,54.52,94,100,12.21
249,Zhangye,CN,2022-07-22 16:28:12,38.9342,100.4517,74.43,28,3,5.93
250,Maralal,KE,2022-07-22 16:28:12,1.0968,36.698,66.36,50,86,6.98
251,Sao Miguel Do Guama,BR,2022-07-22 16:28:13,-1.6267,-47.4833,89.04,51,85,5.48
252,Puerto Escondido,MX,2022-07-22 16:28:13,15.85,-97.0667,84.02,72,99,5.7
253,Namibe,AO,2022-07-22 16:28:13,-15.1961,12.1522,65.91,79,14,12.26
254,Lexington Park,US,2022-07-22 16:26:06,38.2668,-76.4538,90.09,56,98,3.0
255,Narva-Joesuu,EE,2022-07-22 16:28:14,59.4589,28.0408,79.18,54,23,7.87
256,Bystryy Istok,RU,2022-07-22 16:28:14,52.371,84.3873,59.25,89,47,7.58
257,Cayenne,GF,2022-07-22 16:28:15,4.9333,-52.3333,87.1,1,8,6.35
258,Majene,ID,2022-07-22 16:23:19,-3.5403,118.9707,78.35,86,33,9.48
259,Onega,RU,2022-07-22 16:24:47,63.9061,38.1404,76.57,56,75,8.61
